"color" "spine" "width" "satell" "weight" "y"
"103" "medium" "bad" 27.5 1 2550 1
"104" "medium" "middle" 24.7 4 2550 1
"105" "medium" "good" 25.2 1 2000 1
"106" "dark" "bad" 27.3 1 2900 1
"107" "medium" "bad" 26.3 1 2400 1
"108" "medium" "bad" 29 1 3100 1
"109" "medium" "bad" 25.3 2 1900 1
"110" "medium" "bad" 26.5 4 2300 1
"111" "medium" "bad" 27.8 3 3250 1
"112" "medium" "bad" 27 6 2500 1
"113" "dark" "bad" 25.7 0 2100 0
"114" "medium" "bad" 25 2 2100 1
"115" "medium" "bad" 31.9 2 3325 1
"116" "darker" "bad" 23.7 0 1800 0
"117" "darker" "bad" 29.3 12 3225 1
"118" "dark" "bad" 22 0 1400 0
"119" "medium" "bad" 25 5 2400 1
"120" "dark" "bad" 27 6 2500 1
"121" "dark" "bad" 23.8 6 1800 1
"122" "light" "good" 30.2 2 3275 1
"123" "dark" "bad" 26.2 0 2225 0
"124" "medium" "bad" 24.2 2 1650 1
"125" "medium" "bad" 27.4 3 2900 1
"126" "medium" "middle" 25.4 0 2300 0
"127" "dark" "bad" 28.4 3 3200 1
"128" "darker" "bad" 22.5 4 1475 1
"129" "medium" "bad" 26.2 2 2025 1
"130" "medium" "good" 24.9 6 2300 1
"131" "light" "middle" 24.5 6 1950 1
"132" "medium" "bad" 25.1 0 1800 0
"133" "medium" "good" 28 4 2900 1
"134" "darker" "bad" 25.8 10 2250 1
"135" "medium" "bad" 27.9 7 3050 1
"136" "medium" "bad" 24.9 0 2200 0
"137" "medium" "good" 28.4 5 3100 1
"138" "dark" "bad" 27.2 5 2400 1
"139" "medium" "middle" 25 6 2250 1
"140" "medium" "bad" 27.5 6 2625 1
"141" "medium" "good" 33.5 7 5200 1
"142" "medium" "bad" 30.5 3 3325 1
"143" "dark" "bad" 29 3 2925 1
"144" "medium" "good" 24.3 0 2000 0
"145" "medium" "bad" 25.8 0 2400 0
"146" "darker" "bad" 25 8 2100 1
"147" "medium" "good" 31.7 4 3725 1
"148" "medium" "bad" 29.5 4 3025 1
"149" "dark" "bad" 24 10 1900 1
"150" "medium" "bad" 30 9 3000 1
"151" "medium" "bad" 27.6 4 2850 1
"152" "medium" "bad" 26.2 0 2300 0
"153" "medium" "good" 23.1 0 2000 0
"154" "medium" "good" 22.9 0 1600 0
"155" "darker" "bad" 24.5 0 1900 0
"156" "medium" "bad" 24.7 4 1950 1
"157" "medium" "bad" 28.3 0 3200 0
"158" "medium" "bad" 23.9 2 1850 1
"159" "dark" "bad" 23.8 0 1800 0
"160" "dark" "middle" 29.8 4 3500 1
"161" "medium" "bad" 26.5 4 2350 1
"162" "medium" "bad" 26 3 2275 1
"163" "medium" "bad" 28.2 8 3050 1
"164" "darker" "bad" 25.7 0 2150 0
"165" "medium" "bad" 26.5 7 2750 1
"166" "medium" "bad" 25.8 0 2200 0
"167" "dark" "bad" 24.1 0 1800 0
"168" "dark" "bad" 26.2 2 2175 1
"169" "dark" "bad" 26.1 3 2750 1
"170" "dark" "bad" 29 4 3275 1
"171" "light" "good" 28 0 2625 0
"172" "darker" "bad" 27 0 2625 0
"173" "medium" "middle" 24.5 0 2000 0
