"Ozone"	"Solar.R"	"Temp"	"wind_speed"
"45"	NA	332	80	"(11.5,20.7]"
"46"	NA	322	79	"(9.7,11.5]"
"47"	21	191	77	"(11.5,20.7]"
"48"	37	284	72	"(11.5,20.7]"
"49"	20	37	65	"(7.4,9.7]"
"50"	12	120	73	"(9.7,11.5]"
"51"	13	137	76	"(9.7,11.5]"
"52"	NA	150	77	"(1.7,7.4]"
"53"	NA	59	76	NA
"54"	NA	91	76	"(1.7,7.4]"
"55"	NA	250	76	"(1.7,7.4]"
"56"	NA	135	75	"(7.4,9.7]"
"57"	NA	127	78	"(7.4,9.7]"
"58"	NA	47	73	"(9.7,11.5]"
"59"	NA	98	80	"(9.7,11.5]"
"60"	NA	31	77	"(11.5,20.7]"
"61"	NA	138	83	"(7.4,9.7]"
"62"	135	269	84	"(1.7,7.4]"
"63"	49	248	85	"(7.4,9.7]"
"64"	32	236	81	"(7.4,9.7]"
"65"	NA	101	84	"(9.7,11.5]"
"66"	64	175	83	"(1.7,7.4]"
"67"	40	314	83	"(9.7,11.5]"
"68"	77	276	88	"(1.7,7.4]"
"69"	97	267	92	"(1.7,7.4]"
"70"	97	272	92	"(1.7,7.4]"
"71"	85	175	89	"(1.7,7.4]"
"72"	NA	139	82	"(7.4,9.7]"
"73"	10	264	73	"(11.5,20.7]"
"74"	27	175	81	"(11.5,20.7]"
"75"	NA	291	91	"(11.5,20.7]"
"76"	7	48	80	"(11.5,20.7]"
"77"	48	260	81	"(1.7,7.4]"
"78"	35	274	82	"(9.7,11.5]"
"79"	61	285	84	"(1.7,7.4]"
"80"	79	187	87	"(1.7,7.4]"
"81"	63	220	85	"(9.7,11.5]"
"82"	16	7	74	"(1.7,7.4]"
"83"	NA	258	81	"(7.4,9.7]"
"84"	NA	295	82	"(9.7,11.5]"
"85"	80	294	86	"(7.4,9.7]"
"86"	108	223	85	"(7.4,9.7]"
"87"	20	81	82	"(7.4,9.7]"
"88"	52	82	86	"(11.5,20.7]"
"89"	82	213	88	"(1.7,7.4]"
"90"	50	275	86	"(1.7,7.4]"
"91"	64	253	83	"(1.7,7.4]"
"92"	59	254	81	"(7.4,9.7]"
"93"	39	83	81	"(1.7,7.4]"
"94"	9	24	81	"(11.5,20.7]"
"95"	16	77	82	"(1.7,7.4]"
"96"	78	NA	86	"(1.7,7.4]"
"97"	35	NA	85	"(1.7,7.4]"
"98"	66	NA	87	"(1.7,7.4]"
"99"	122	255	89	"(1.7,7.4]"
"100"	89	229	90	"(9.7,11.5]"
"101"	110	207	90	"(7.4,9.7]"
"102"	NA	222	92	"(7.4,9.7]"
"103"	NA	137	86	"(9.7,11.5]"
"104"	44	192	86	"(9.7,11.5]"
"105"	28	273	82	"(9.7,11.5]"
"106"	65	157	80	"(7.4,9.7]"
"107"	NA	64	79	"(9.7,11.5]"
"108"	22	71	77	"(9.7,11.5]"
"109"	59	51	79	"(1.7,7.4]"
"110"	23	115	76	"(1.7,7.4]"
"111"	31	244	78	"(9.7,11.5]"
"112"	44	190	78	"(9.7,11.5]"
"113"	21	259	77	"(11.5,20.7]"
"114"	9	36	72	"(11.5,20.7]"
"115"	NA	255	75	"(11.5,20.7]"
"116"	45	212	79	"(7.4,9.7]"
"117"	168	238	81	"(1.7,7.4]"
"118"	73	215	86	"(7.4,9.7]"
"119"	NA	153	88	"(1.7,7.4]"
"120"	76	203	97	"(7.4,9.7]"
"121"	118	225	94	"(1.7,7.4]"
"122"	84	237	96	"(1.7,7.4]"
"123"	85	188	94	"(1.7,7.4]"
"124"	96	167	91	"(1.7,7.4]"
"125"	78	197	92	"(1.7,7.4]"
"126"	73	183	93	"(1.7,7.4]"
"127"	91	189	93	"(1.7,7.4]"
"128"	47	95	87	"(1.7,7.4]"
"129"	32	92	84	"(11.5,20.7]"
"130"	20	252	80	"(9.7,11.5]"
"131"	23	220	78	"(9.7,11.5]"
"132"	21	230	75	"(9.7,11.5]"
"133"	24	259	73	"(7.4,9.7]"
"134"	44	236	81	"(11.5,20.7]"
"135"	21	259	76	"(11.5,20.7]"
"136"	28	238	77	"(1.7,7.4]"
"137"	9	24	71	"(9.7,11.5]"
"138"	13	112	71	"(9.7,11.5]"
"139"	46	237	78	"(1.7,7.4]"
"140"	18	224	67	"(11.5,20.7]"
"141"	13	27	76	"(9.7,11.5]"
"142"	24	238	68	"(9.7,11.5]"
"143"	16	201	82	"(7.4,9.7]"
"144"	13	238	64	"(11.5,20.7]"
"145"	23	14	71	"(7.4,9.7]"
"146"	36	139	81	"(9.7,11.5]"
"147"	7	49	69	"(9.7,11.5]"
"148"	14	20	63	"(11.5,20.7]"
"149"	30	193	70	"(1.7,7.4]"
"150"	NA	145	77	"(11.5,20.7]"
"151"	14	191	75	"(11.5,20.7]"
"152"	18	131	76	"(7.4,9.7]"
"153"	20	223	68	"(9.7,11.5]"
